"election_id","enp","largest_party_share","election_date","country","gov_start","election_date_cab","days_to_form","log_days","year"
3,4.56173135281904,0.36094674556213,2005-09-12,"NOR",2005-10-17,2005-09-12,35,3.58351893845611,2005
5,3.72307692307692,0.363636363636364,2009-06-07,"PRT",NA,NA,NA,NA,2009
6,2.37828447339848,0.567567567567568,1977-06-16,"IRL",1977-07-05,1977-06-16,19,2.99573227355399,1977
13,3.47244094488189,0.380952380952381,1995-01-01,"AUT",NA,NA,NA,NA,1995
14,3.14070351758794,0.4,1994-06-12,"PRT",NA,NA,NA,NA,1994
15,5.15065670873036,0.255,1999-03-21,"FIN",1999-04-15,1999-03-21,25,3.25809653802148,1999
16,3.47244094488189,0.333333333333333,1999-06-13,"AUT",NA,NA,NA,NA,1999
17,4.07436302790153,0.371428571428571,1987-06-14,"ITA",1987-07-28,1987-06-14,44,3.80666248977032,1987
18,3.95680258377069,0.404040404040404,2004-06-13,"DEU",NA,NA,NA,NA,2004
22,3.58536585365854,0.333333333333333,1996-10-13,"AUT",NA,NA,NA,NA,1996
23,3.10945273631841,0.4,1979-06-10,"NLD",NA,NA,NA,NA,1979
24,4.8971596474045,0.315,1995-03-19,"FIN",1995-04-13,1995-03-19,25,3.25809653802148,1995
33,4.2937568301195,0.375358166189112,1998-09-20,"SWE",1998-10-07,1998-09-20,17,2.89037175789616,1998
34,3.16901408450704,0.466666666666667,1994-06-12,"IRL",NA,NA,NA,NA,1994
36,4.18229715489989,0.317460317460317,2009-04-25,"ISL",2009-04-25,2009-04-25,0,0,2009
38,2.203182374541,0.6,1986-01-01,"ESP",NA,NA,NA,NA,1986
42,2.89420214525351,0.474285714285714,1977-06-15,"ESP",1977-07-04,1977-06-15,19,2.99573227355399,1977
43,2.89210747271201,0.487951807228916,1987-02-17,"IRL",1987-03-10,1987-02-17,21,3.09104245335832,1987
44,3.00734214390602,0.4375,1994-06-12,"ESP",NA,NA,NA,NA,1994
45,3.4468085106383,0.388888888888889,2004-06-13,"AUT",NA,NA,NA,NA,2004
46,3.94736842105263,0.4,1989-06-18,"IRL",NA,NA,NA,NA,1989
47,2.61045850701023,0.469879518072289,1981-06-11,"IRL",1981-06-30,1981-06-11,19,2.99573227355399,1981
48,3.39571775070395,0.455587392550143,1985-09-15,"SWE",1985-09-15,1985-09-15,0,0,1985
51,6.42123287671233,0.286666666666667,1972-11-29,"NLD",1973-05-11,1972-11-29,163,5.0998664278242,1972
54,3.1025641025641,0.5,1995-01-01,"SWE",NA,NA,NA,NA,1995
55,4.65384615384615,0.318181818181818,1995-09-17,"SWE",NA,NA,NA,NA,1995
58,4.34841628959276,0.32258064516129,1994-06-12,"NLD",NA,NA,NA,NA,1994
62,3.49053676698728,0.36,1986-05-21,"NLD",1986-07-14,1986-05-21,54,4.00733318523247,1986
64,7.27708380649557,0.256983240223464,1973-12-04,"DNK",1973-12-19,1973-12-04,15,2.77258872223978,1973
65,3.57149284621614,0.422222222222222,1972-05-07,"ITA",1972-07-26,1972-05-07,80,4.39444915467244,1972
66,3.7280418568407,0.355191256830601,1994-10-09,"AUT",1994-11-29,1994-10-09,51,3.95124371858143,1994
74,5.79299691040165,0.286666666666667,2002-05-15,"NLD",2002-07-22,2002-05-15,68,4.23410650459726,2002
77,5.57413600891862,0.26,1970-03-16,"FIN",1970-07-15,1970-03-16,121,4.80402104473326,1970
81,4.28898208158597,0.32,1981-05-26,"NLD",1981-09-11,1981-05-26,108,4.69134788222914,1981
82,3.94925373134328,0.396825396825397,1995-04-08,"ISL",1995-04-13,1995-04-08,5,1.79175946922805,1995
84,5.22056904202558,0.26,1979-03-19,"FIN",1979-05-26,1979-03-19,68,4.23410650459726,1979
85,2.32854318734793,0.577142857142857,1982-10-28,"ESP",1982-12-02,1982-10-28,35,3.58351893845611,1982
87,3,0.416666666666667,1984-06-17,"GRC",NA,NA,NA,NA,1984
89,4.7418972916975,0.346368715083799,1994-09-21,"DNK",1994-09-27,1994-09-21,6,1.94591014905531,1994
90,2.23546315077755,0.58695652173913,1991-10-06,"PRT",1991-10-31,1991-10-06,25,3.25809653802148,1991
93,4.83447879439182,0.311897106109325,2009-09-27,"DEU",2009-10-28,2009-09-27,31,3.46573590279973,2009
95,2.78885437685628,0.463709677419355,1972-11-19,"DEU",1972-12-15,1972-11-19,26,3.29583686600433,1972
98,5.3248136315229,0.27,1975-09-22,"FIN",1975-11-30,1975-09-22,69,4.24849524204936,1975
99,2.72428056753992,0.445714285714286,1996-03-03,"ESP",1996-05-05,1996-03-03,63,4.15888308335967,1996
100,3.19353981124551,0.419354838709677,1981-09-14,"NOR",1981-10-14,1981-09-14,30,3.43398720448515,1981
104,5.91803278688525,0.263157894736842,2004-06-13,"SWE",NA,NA,NA,NA,2004
106,4.2609762748841,0.352,1985-10-06,"PRT",1985-10-31,1985-10-06,25,3.25809653802148,1985
107,5.07648623759337,0.349206349206349,2006-04-09,"ITA",2006-05-17,2006-04-09,38,3.66356164612965,2006
111,3.07502789140945,0.438095238095238,2008-04-13,"ITA",2008-05-08,2008-04-13,25,3.25809653802148,2008
114,4.06320541760722,0.383333333333333,1983-04-23,"ISL",1983-05-26,1983-04-23,33,3.52636052461616,1983
116,4.01498929336188,0.313333333333333,1982-09-08,"NLD",1982-11-04,1982-09-08,57,4.06044301054642,1982
118,4.05206474773748,0.361563517915309,2005-09-18,"DEU",2005-11-22,2005-09-18,65,4.18965474202643,2005
123,3.75555555555556,0.384615384615385,2004-06-13,"IRL",NA,NA,NA,NA,2004
125,6.39567936327459,0.26,1971-04-28,"NLD",1971-06-07,1971-04-28,40,3.71357206670431,1971
128,5.33333333333333,0.25,1984-06-17,"DNK",NA,NA,NA,NA,1984
133,5.18806744487678,0.285,1983-03-21,"FIN",1983-05-06,1983-03-21,46,3.85014760171006,1983
134,7.35294117647059,0.2,2009-06-04,"NLD",NA,NA,NA,NA,2009
140,2.50434782608696,0.5,2004-06-13,"PRT",NA,NA,NA,NA,2004
146,7.54562737642585,0.185714285714286,1994-03-27,"ITA",1994-05-11,1994-03-27,45,3.8286413964891,1994
147,3.27272727272727,0.416666666666667,1981-10-18,"GRC",NA,NA,NA,NA,1981
156,4.22524022617685,0.412607449856734,2002-09-15,"SWE",2002-10-21,2002-09-15,36,3.61091791264422,2002
157,4.56359492949722,0.385474860335196,1990-12-12,"DNK",1990-12-18,1990-12-12,6,1.94591014905531,1990
162,3.48589570105132,0.387978142076503,1995-12-17,"AUT",1996-03-12,1995-12-17,86,4.46590811865458,1995
163,2.85315334121959,0.431451612903226,1976-10-03,"DEU",1976-12-15,1976-10-03,73,4.30406509320417,1976
164,2.49724793085171,0.468571428571429,2004-03-14,"ESP",2004-04-17,2004-03-14,34,3.55534806148941,2004
168,4.9,0.357142857142857,2004-06-13,"DNK",NA,NA,NA,NA,2004
174,5.57719756309835,0.256983240223464,2007-11-13,"DNK",2007-11-23,2007-11-13,10,2.39789527279837,2007
175,3.12879858203396,0.475644699140401,1982-09-19,"SWE",1982-10-07,1982-09-19,18,2.94443897916644,1982
177,5.25136612021858,0.290322580645161,1999-06-13,"NLD",NA,NA,NA,NA,1999
178,3.71281571562208,0.349206349206349,2003-05-10,"ISL",2003-05-23,2003-05-10,13,2.63905732961526,2003
179,5.7042905465551,0.329608938547486,1981-12-08,"DNK",1981-12-30,1981-12-08,22,3.13549421592915,1981
181,5.82758620689655,0.230769230769231,2009-06-07,"FIN",NA,NA,NA,NA,2009
185,2.21064096640042,0.508196721311475,1971-10-10,"AUT",1971-11-04,1971-10-10,25,3.25809653802148,1971
190,3.00632773292603,0.469879518072289,2007-05-24,"IRL",2007-06-14,2007-05-24,21,3.09104245335832,2007
193,4.26666666666667,0.3125,1995-01-01,"FIN",NA,NA,NA,NA,1995
197,3.37897285844012,0.371584699453552,2006-10-01,"AUT",2007-01-11,2006-10-01,102,4.63472898822964,2006
198,4.45454545454546,0.285714285714286,2004-06-13,"FIN",NA,NA,NA,NA,2004
200,3.43389763193169,0.406844106463878,1976-04-25,"PRT",1976-07-23,1976-04-25,89,4.49980967033027,1976
201,2.18489026995533,0.553333333333333,2004-03-07,"GRC",2004-03-10,2004-03-07,3,1.38629436111989,2004
205,2.40410300245753,0.483333333333333,1989-06-18,"GRC",1989-07-02,1989-06-18,14,2.70805020110221,1989
207,3.08846009272021,0.452229299363057,1985-09-08,"NOR",1985-09-08,1985-09-08,0,0,1985
210,2.56522160799147,0.526086956521739,2005-02-20,"PRT",2005-03-12,2005-02-20,20,3.04452243772342,2005
215,3.35120643431635,0.445714285714286,1973-09-16,"SWE",1973-09-16,1973-09-16,0,0,1973
216,2.55728512037127,0.48695652173913,1995-10-01,"PRT",1995-10-28,1995-10-01,27,3.3322045101752,1995
221,2.21064096640042,0.508196721311475,1975-10-05,"AUT",1975-10-28,1975-10-05,23,3.17805383034795,1975
225,3.85438972162741,0.366666666666667,1971-06-13,"ISL",1971-07-14,1971-06-13,31,3.46573590279973,1971
226,5.55399549315306,0.301675977653631,1987-09-08,"DNK",1987-09-10,1987-09-08,2,1.09861228866811,1987
227,2.09409465307832,0.573333333333333,1981-10-18,"GRC",1981-10-21,1981-10-18,3,1.38629436111989,1981
228,2.55621521335807,0.487951807228916,1982-02-18,"IRL",1982-03-09,1982-02-18,19,2.99573227355399,1982
231,4.55225267069206,0.343434343434343,2009-06-07,"DEU",NA,NA,NA,NA,2009
232,4.18840579710145,0.352941176470588,2009-06-07,"AUT",NA,NA,NA,NA,2009
235,2.63340410474168,0.437158469945355,1986-11-23,"AUT",1987-01-21,1986-11-23,59,4.0943445622221,1986
242,5.04503227838136,0.379888268156425,1979-10-23,"DNK",1979-10-26,1979-10-23,3,1.38629436111989,1979
245,2.08695652173913,0.625,1981-01-01,"GRC",NA,NA,NA,NA,1981
247,2.94811320754717,0.464,1975-04-25,"PRT",NA,NA,NA,NA,1975
248,4.18172086176904,0.3,1979-12-02,"PRT",1980-01-03,1979-12-02,32,3.49650756146648,1979
252,2.67327164804469,0.454285714285714,1993-06-06,"ESP",1993-07-09,1993-06-06,33,3.52636052461616,1993
253,4.9297510475721,0.275,2003-03-16,"FIN",2003-04-17,2003-03-16,32,3.49650756146648,2003
254,2.68146396988005,0.525714285714286,1986-06-22,"ESP",1986-07-25,1986-06-22,33,3.52636052461616,1986
258,3.31582936336076,0.465714285714286,1970-09-20,"SWE",1970-09-20,1970-09-20,0,0,1970
262,3.44703551719258,0.435530085959885,1976-09-19,"SWE",1976-10-07,1976-09-19,18,2.94443897916644,1976
264,3.50724637681159,0.363636363636364,2009-06-07,"GRC",NA,NA,NA,NA,2009
265,3.62465753424658,0.396825396825397,2007-05-12,"ISL",2007-05-24,2007-05-12,12,2.56494935746154,2007
271,6.09523809523809,0.25,1979-06-10,"DNK",NA,NA,NA,NA,1979
274,3.77640342530923,0.412698412698413,1991-04-20,"ISL",1991-04-30,1991-04-20,10,2.39789527279837,1991
275,3.84615384615385,0.333333333333333,1978-06-25,"ISL",1978-09-01,1978-06-25,68,4.23410650459726,1978
280,4.82072005878031,0.320987654320988,1989-06-18,"ITA",NA,NA,NA,NA,1989
281,4.22582826233942,0.328,1980-10-05,"PRT",1980-10-05,1980-10-05,0,0,1980
283,2.57846306888834,0.479166666666667,1973-02-28,"IRL",1973-03-14,1973-02-28,14,2.70805020110221,1973
284,2.36767336630538,0.5,1990-04-08,"GRC",1990-04-11,1990-04-08,3,1.38629436111989,1990
285,4.06678057810053,0.378698224852071,2009-09-14,"NOR",2009-10-20,2009-09-14,36,3.61091791264422,2009
289,2.85268501699967,0.5,1989-10-29,"ESP",1989-12-05,1989-10-29,37,3.63758615972639,1989
296,3.74700171330668,0.382716049382716,1989-06-18,"DEU",NA,NA,NA,NA,1989
304,5.58620689655172,0.277777777777778,2009-06-07,"SWE",NA,NA,NA,NA,2009
307,2.55289975912544,0.451807228915663,1982-11-24,"IRL",1982-12-14,1982-11-24,20,3.04452243772342,1982
308,5.12,0.25,1989-06-18,"DNK",NA,NA,NA,NA,1989
309,4.82857142857143,0.307692307692308,2009-06-07,"DNK",NA,NA,NA,NA,2009
314,5.13083632632119,0.255,2007-03-18,"FIN",2007-04-19,2007-03-18,32,3.49650756146648,2007
316,2.99261511728931,0.463855421686747,1997-06-06,"IRL",1997-06-26,1997-06-06,20,3.04452243772342,1997
317,3.46987951807229,0.416666666666667,1986-01-01,"PRT",NA,NA,NA,NA,1986
325,2.99302886763786,0.437158469945355,1990-10-07,"AUT",1990-12-17,1990-10-07,71,4.27666611901606,1990
326,6.00237906423473,0.310344827586207,1994-06-12,"ITA",NA,NA,NA,NA,1994
328,5.35187733438176,0.260606060606061,2001-09-10,"NOR",2001-10-19,2001-09-10,39,3.68887945411394,2001
329,6.0597609561753,0.307692307692308,2004-06-12,"ITA",NA,NA,NA,NA,2004
334,5.33333333333333,0.25,1999-06-13,"FIN",NA,NA,NA,NA,1999
335,4.74483340362716,0.293333333333333,2003-01-22,"NLD",2003-05-27,2003-01-22,125,4.83628190695148,2003
341,3.57142857142857,0.36,1984-06-17,"NLD",NA,NA,NA,NA,1984
344,2.22772277227723,0.533333333333333,1984-06-17,"IRL",NA,NA,NA,NA,1984
352,2.61311993677139,0.5,1999-10-10,"PRT",1999-10-25,1999-10-10,15,2.77258872223978,1999
353,4.21929260450161,0.358024691358025,1979-06-10,"ITA",NA,NA,NA,NA,1979
